Nat,Pokemon,HP,Atk,Def,SpA,SpD,Spe,Total,Type I,Type II,Ability I,Ability II,Hidden Ability,EV Worth,Gender,Egg Group I,Egg Group II,Catch,Evolve,Generation
797,Celesteela,97,101,103,107,101,61,570,Steel,Flying,Beast Boost,,,"1 Atk, 1 Def, 1 SpA",None,-,,45,N,7
798,Kartana,59,181,131,59,31,109,570,Grass,Steel,Beast Boost,,,3 Atk,None,-,,45,N,7
799,Guzzlord,223,101,53,97,53,43,570,Dragon,Dark,Beast Boost,,,3 HP,None,-,,45,N,7
800,Necrozma,97,107,101,127,89,79,600,Psychic,,Prisim Armor,,,"1 Atk, 2 SpA",None,-,,255,N,7
801,Magearna,80,95,115,130,115,65,600,Steel,Fairy,Soul Heart,,,3 SpA,None,-,,3,N,7
802,Marshadow,90,125,80,90,90,125,600,Fighting,Ghost,Technician,,,2 Atk,None,-,,3,N,7
803,Poipole,67,73,67,73,67,73,420,Poison,,Beast Boost,,,1 Spd,None,-,,45,,7
804,Naganadel,73,73,73,127,73,121,540,Poison,Dragon,Beast Boost,,,3 SpA,None,-,,45,"Level Up, Knows Dragon Pulse",7
805,Stakataka,61,131,211,53,101,13,570,Rock,Steel,Beast Boost,,,3 Def,None,-,,30,N,7
806,Blacephalon,53,127,53,151,79,107,570,Fire,Ghost,Beast Boost,,,3 SpA,None,-,,30,N,7
807,Zeraora,88,112,75,102,80,143,600,Electric,,Volt Absorb,,,3 Spd,None,-,,3,N,7
808,Meltan,46,65,65,55,35,34,300,Steel,,Magnet Pull,,,1 Atk,None,-,,3,,7
809,Melmetal,135,143,143,80,65,34,600,Steel,,Iron Fist,,,3 Atk,None,-,,3,400 Meltan Candy (GO Only),7
810,Grookey,50,65,50,40,40,65,310,Grass,,Overgrow,,Grassy Surge,1 Atk,M (87.5%),Field,Grass,45,,8
811,Thwackey,70,85,70,55,60,80,420,Grass,,Overgrow,,Grassy Surge,2 Atk,M (87.5%),Field,Grass,45,Level 16,8
812,Rillaboom,100,125,90,60,70,85,530,Grass,,Overgrow,,Grassy Surge,3 Atk,M (87.5%),Field,Grass,45,Level 35,8
813,Scorbunny,50,71,40,40,40,69,310,Fire,,Blaze,,Libero,1 Spd,M (87.5%),Field,Human-like,45,,8
814,Raboot,65,86,60,55,60,94,420,Fire,,Blaze,,Libero,2 Spd,M (87.5%),Field,Human-like,45,Level 16,8
815,Cinderace,80,116,75,65,75,119,530,Fire,,Blaze,,Libero,3 Spd,M (87.5%),Field,Human-like,45,Level 35,8
816,Sobble,50,40,40,70,40,70,310,Water,,Torrent,,Sniper,"1 SpD, 1 Spd",M (87.5%),Water 1,Field,45,,8
817,Drizzile,65,60,55,95,55,90,420,Water,,Torrent,,Sniper,2 SpA,M (87.5%),Water 1,Field,45,Level 16,8
818,Inteleon,70,85,65,125,65,120,530,Water,,Torrent,,Sniper,3 Spd,M (87.5%),Water 1,Field,45,Level 35,8
819,Skwovet,70,55,55,35,35,25,275,Normal,,Cheek Pouch,,Gluttony,1 HP,Neutral,Field,,255,,8
820,Greedent,120,95,95,55,75,20,460,Normal,,Cheek Pouch,,Gluttony,2 HP,Neutral,Field,,90,Level 24,8
821,Rookidee,38,47,35,33,35,57,245,Flying,,Keen Eye,Unnerve,Big Pecks,1 Spd,Neutral,Flying,,255,,8
822,Corvisquire,68,67,55,43,55,77,365,Flying,,Keen Eye,Unnerve,Big Pecks,2 Spd,Neutral,Flying,,120,Level 18,8
823,Corviknight,98,87,105,53,85,67,495,Flying,Steel,Pressure,Unnerve,Mirror Armor,3 Def,Neutral,Flying,,45,Level 38,8
824,Blipbug,25,20,20,25,45,45,180,Bug,,Swarm,Compound Eyes,Telepathy,1 SpD,Neutral,Bug,,255,,8
825,Dottler,50,35,80,50,90,30,335,Bug,,Swarm,Compound Eyes,Telepathy,2 SpD,Neutral,Bug,,120,Level 10,8
826,Orbeetle,60,45,110,80,120,90,505,Bug,Psychic,Swarm,Frisk,Telepathy,3 SpD,Neutral,Bug,,45,Level 30,8
827,Nickit,40,28,28,47,52,50,245,Dark,,Run Away,Unburden,Stakeout,1 SpD,Neutral,Field,,255,,8
828,Thievul,70,58,58,87,92,90,455,Dark,,Run Away,Unburden,Stakeout,2 SpD,Neutral,Field,,127,Level 18,8
829,Gossifleur,40,40,60,40,60,10,250,Grass,,Cotton Down,Regenerator,Effect Spore,1 SpD,Neutral,Grass,,190,,8
830,Eldegoss,60,50,90,80,120,60,460,Grass,,Cotton Down,Regenerator,Effect Spore,2 SpD,Neutral,Grass,,75,Level 20,8
831,Wooloo,42,40,55,40,45,48,270,Normal,,Fluffy,Run Away,Bulletproof,1 Def,Neutral,Field,,255,,8
832,Dubwool,72,80,100,60,90,88,490,Normal,,Fluffy,Steadfast,Bulletproof,2 Def,Neutral,Field,,127,Level 24,8
833,Chewtle,50,64,50,38,38,44,284,Water,,Strong Jaw,Shell Armor,Swift Swim,1 Atk,Neutral,Monster,Water 1,255,,8
834,Drednaw,90,115,90,48,68,74,485,Water,Rock,Strong Jaw,Shell Armor,Swift Swim,2 Atk,Neutral,Monster,Water 1,75,Level 22,8
835,Yamper,59,45,50,40,50,26,270,Electric,,Ball Fetch,,Rattled,1 HP,Neutral,Field,,255,,8
836,Boltund,69,90,60,90,60,121,490,Electric,,Strong Jaw,,Competitive,2 Spd,Neutral,Field,,45,Level 25,8
837,Rolycoly,30,40,50,40,50,30,240,Rock,,Steam Engine,Heatproof,Flash Fire,1 Def,Neutral,Mineral,,255,,8
838,Carkol,80,60,90,60,70,50,410,Rock,Fire,Steam Engine,Flame Body,Flash Fire,2 Def,Neutral,Mineral,,120,Level 18,8
839,Coalossal,110,80,120,80,90,30,510,Rock,Fire,Steam Engine,Flame Body,Flash Fire,3 Def,Neutral,Mineral,,45,Level 34,8
840,Applin,40,40,80,40,40,20,260,Grass,Dragon,Ripen,Gluttony,Bulletproof,1 Def,Neutral,Grass,Dragon,255,,8
841,Flapple,70,110,80,95,60,70,485,Grass,Dragon,Ripen,Gluttony,Hustle,2 Atk,Neutral,Grass,Dragon,45,Tart Apple,8
842,Applerun,110,85,80,100,80,30,485,Grass,Dragon,Ripen,Gluttony,Thick Fat,2 HP,Neutral,Grass,Dragon,45,Sweet Apple,8
843,Silicobra,52,57,75,35,50,46,315,Ground,,Sand Spit,Shed Skin,Sand Veil,1 Def,Neutral,Field,Dragon,255,,8
844,Sandaconda,72,107,125,65,70,71,510,Ground,,Sand Spit,Shed Skin,Sand Veil,2 Def,Neutral,Field,Dragon,120,Level 36,8
845,Cramorant,70,85,55,85,95,85,475,Flying,Water,Gulp Missile,,,2 SpD,Neutral,Water 1,Flying,45,N,8
846,Arrokuda,41,63,40,40,30,66,280,Water,,Swift Swim,,Propeller Tail,1 Spd,Neutral,Water 2,,255,,8
847,Barraskewda,61,123,60,60,50,136,490,Water,,Swift Swim,,Propeller Tail,2 Spd,Neutral,Water 2,,60,Level 26,8
848,Toxel,40,38,35,54,35,40,242,Electric,Poison,Rattled,Static,Klutz,1 SpA,Neutral,-,,75,,8
849,Toxtricity A,75,98,70,114,70,75,502,Electric,Poison,Punk Rock,Plus,Flame Body,2 SpA,Neutral,Human-like,,45,"Level 30, Hardy, Brave, Adamant, Naughty, Docile, Impish, Lax, Hasty, Jolly, Naive, Rash, Sassy, or Quirky.",8
850,Sizzlipede,50,65,45,50,50,45,305,Fire,Bug,Flash Fire,White Smoke,Flame Body,1 Atk,Neutral,Bug,,190,,8
851,Centiskorch,100,115,65,90,90,65,525,Fire,Bug,Flash Fire,White Smoke,Flame Body,2 Atk,Neutral,Bug,,75,Level 28,8
852,Clobbopus,50,68,60,50,50,32,310,Fighting,,Limber,,Technician,1 Atk,Neutral,Water 1,Human-like,180,,8
853,Grapploct,80,118,90,70,80,42,480,Fighting,,Limber,,Technician,2 Atk,Neutral,Water 1,Human-like,45,"Level Up, Knows Taunt",8
854,Sinistea,40,45,45,74,54,50,308,Ghost,,Weak Armor,,Cursed Body,1 SpA,None,Mineral,Amorphous,120,,8
855,Polteageist,60,65,65,134,114,70,508,Ghost,,Weak Armor,,Cursed Body,2 SpA,None,Mineral,Amorphous,60,Cracked or Chipped Pot,8
856,Hatenna,42,30,45,56,53,39,265,Psychic,,Healer,Anticipation,Magic Bounce,1 SpA,F (100%),Fairy,,235,,8
857,Hattrem,57,40,65,86,73,49,370,Psychic,,Healer,Anticipation,Magic Bounce,2 SpA,F (100%),Fairy,,120,Level 32,8
858,Hatterene,57,90,95,136,103,29,510,Psychic,Fairy,Healer,Anticipation,Magic Bounce,3 SpA,F (100%),Fairy,,45,Level 42,8
859,Impidimp,45,45,30,55,40,50,265,Dark,Fairy,Prankster,Frisk,Pickpocket,1 SpA,M (100%),Fairy,Human-like,255,,8
860,Morgrem,65,60,45,75,55,70,370,Dark,Fairy,Prankster,Frisk,Pickpocket,2 SpA,M (100%),Fairy,Human-like,120,Level 32,8
861,Grimmsnarl,95,120,65,95,75,60,510,Dark,Fairy,Prankster,Frisk,Pickpocket,3 Atk,M (100%),Fairy,Human-like,45,Level 42,8
862,Obstagoon,93,90,101,60,81,95,520,Dark,Normal,Reckless,Guts,Defiant,3 Def,Neutral,Field,,45,"Level 35, Night",8
863,Perrserker,70,110,100,50,60,50,440,Steel,,Battle Armor,Tough Claws,Steely Spirit,2 Atk,Neutral,Field,,90,Level 28,8
864,Cursola,60,95,50,145,130,30,510,Ghost,,Weak Armor,,Perish Body,2 SpA,F (75%),Water 1,Water 3,30,Level 38,8
865,Sirfetch'd,62,135,95,68,82,65,507,Fighting,,Steadfast,,Scrappy,2 Atk,Neutral,Flying,Field,45,Land 3 Criticals in a battle,8
866,Mr. Rime,80,85,75,110,100,70,520,Ice,Fairy,Tangled Feet,Screen Cleaner,Ice Body,3 SpA,Neutral,Human-like,,45,Level 42,8
867,Runerigus,58,95,145,50,105,30,483,Ground,Ghost,Wandering Spirit,,,2 Def,Neutral,Mineral,Amorphous,90,"-49 HP w/out Faint, Dusty Bowl",8
868,Milcrey,45,40,40,50,61,34,270,Fairy,,Sweet Veil,,Aroma Veil,1 SpD,F (100%),Fairy,Amorphous,200,,8
869,Alcremie,65,60,75,110,121,64,495,Fairy,,Sweet Veil,,Aroma Veil,2 SpD,F (100%),Fairy,Amorphous,100,"Spin Time, Time of Day, Item Dependant",8
870,Falinks,65,100,100,70,60,75,470,Fighting,,Battle Armor,,Defiant,"2 Atk, 1 SpD",None,Fairy,Mineral,45,N,8
871,Pincurchin,48,101,95,91,85,15,435,Electric,,Lightning Rod,,Electric Surge,2 Atk,Neutral,Water 1,Amorphous,75,N,8
872,Snom,30,25,35,45,30,20,185,Ice,Bug,Shield Dust,,Ice Scales,1 SpA,Neutral,Bug,,190,,8
873,Frosmoth,70,65,60,125,90,65,475,Ice,Bug,Shield Dust,,Ice Scales,2 SpA,Neutral,Bug,,75,"High Friendship, Night",8
874,Stonjourner,100,125,135,20,20,70,470,Rock,,Power Spot,,,2 Def,Neutral,Mineral,,60,N,8
875,Eiscue,75,80,110,65,90,50,470,Ice,,Ice Face,,,2 Def,Neutral,Water 1,Field,60,N,8
876,Indeedee,60,65,55,105,95,95,475,Psychic,,Inner Focus,Synchronize,Psychic Surge,2 SpA,M (100%),Fairy,,30,N,8
877,Morpeko,58,95,58,70,58,97,436,Electric,Dark,Hunger Switch,,,2 Spd,Neutral,Field,Fairy,180,N,8
878,Cufant,72,80,49,40,49,40,330,Steel,,Sheer Force,,Heavy Metal,1 Atk,Neutral,Field,Mineral,190,,8
879,Copperajah,122,130,69,80,69,30,500,Steel,,Sheer Force,,Heavy Metal,2 Atk,Neutral,Field,Mineral,90,Level 34,8
880,Dracozolt,90,100,90,80,70,75,505,Electric,Dragon,Volt Absorb,Hustle,Sand Rush,2 Atk,None,-,,45,N,8
881,Arctozolt,90,100,90,90,80,55,505,Electric,Ice,Volt Absorb,Static,Slush Rush,2 Atk,None,-,,45,N,8
882,Dracovish,90,90,100,70,80,75,505,Water,Dragon,Water Absorb,Strong Jaw,Sand Rush,2 Def,None,-,,45,N,8
883,Arctovish,90,90,100,80,90,55,505,Water,Ice,Water Absorb,Ice Body,Slush Rush,2 Def,None,-,,45,N,8
884,Duraludon,70,95,115,120,50,85,535,Steel,Dragon,Light Metal,Heavy Metal,Stalwart,2 SpA,Neutral,Mineral,Dragon,45,N,8
885,Dreepy,28,60,30,40,30,82,270,Dragon,Ghost,Clear Body,Infiltrator,Cursed Body,1 Spd,Neutral,Amorphous,Dragon,45,,8
886,Drakloak,68,80,50,60,50,102,410,Dragon,Ghost,Clear Body,Infiltrator,Cursed Body,2 Spd,Neutral,Amorphous,Dragon,45,Level 50,8
887,Dragapult,88,120,75,100,75,142,600,Dragon,Ghost,Clear Body,Infiltrator,Cursed Body,3 Spd,Neutral,Amorphous,Dragon,45,Level 60,8
888,Zacian,92,120,115,80,115,138,660,Fairy,,Intrepid Sword,,,3 Spd,None,-,,10,N,8
889,Zamazenta,92,120,115,80,115,138,660,Fighting,,Dauntless Shield,,,3 Spd,None,-,,10,N,8
890,Eternatus,140,85,95,145,95,130,690,Poison,Dragon,Pressure,,,3 HP,None,-,,255,N,8
891,Kubfu,60,90,60,53,50,72,385,Fighting,,Inner Focus,,,1 Atk,M (87.5%),-,,3,,8
892,Urshifu SS,100,130,100,63,60,97,550,Fighting,Dark,Unseen Fist,,,3 Atk,M (87.5%),-,,3,"Level 30, Darkness Scroll",8
893,Zarude,105,120,105,70,95,105,600,Grass,,Leaf Guard,,,3 Atk,None,-,,3,N,8
894,Regieleki,80,100,50,100,50,200,580,Electric,,Transistor,,,3 Spd,None,-,,3,N,8
895,Regidrago,200,100,50,100,50,80,580,Dragon,,Dragon's Maw,,,3 HP,None,-,,3,N,8
896,Glastrier,100,145,130,65,110,30,580,Ice,,Chilling Neigh,,,3 Atk,None,-,,3,N,8
897,Spectrier,100,65,60,145,80,130,580,Ghost,,Grim Neigh,,,3 SpA,None,-,,3,N,8
898,Calyrex,100,80,80,80,80,80,500,Grass,Psychic,Unnerve,,,3 HP,None,-,,3,N,8
899,Wyrdeer,103,105,72,105,75,65,525,Normal,Psychic,Intimidate,Frisk,Sap Sipper,1 Atk,Neutral,Field,,?,Agile Psyshield Bash x20,8
900,Kleavor,70,130,95,45,75,85,500,Bug,Rock,Swarm,Sheer Force,Sharpness,2 Atk,Neutral,Bug,,?,Black Augerite,8
901,Ursaluna,130,140,105,45,80,50,550,Normal,Ground,Guts,Bulletproof,Unnerve,3 Atk,Neutral,Field,,?,"Peat Block, Full Moon",8
902,Basculegion,120,112,65,80,75,78,530,Water,Ghost,Rattled,Adaptability,Mold Breaker,2 HP,M (100%),Water 2,,?,"M, Recoil 294 HP w/out Faint",8
903,Sneasler,80,130,60,40,80,120,510,Poison,Fighting,Pressure,,Poison Touch,"1 Atk, 1 Spd",Neutral,Field,,?,Razor Claw during the Day,8
904,Overqwil,85,115,95,65,65,85,510,Poison,Dark,Poison Point,Swift Swim,Intimidate,1 Atk,Neutral,Water 2,,?,Strong Barb Barrage x20,8
905,Enamorus,74,115,70,135,80,106,580,Fairy,Flying,Healer,,Contrary,3 Spa,F (100%),-,,?,N,8
906,Sprigatito,40,61,54,45,45,65,310,Grass,,Overgrow,,Protean,1 Spd,M (87.5%),Field,Grass,45,,9
907,Floragato,61,80,63,60,63,83,410,Grass,,Overgrow,,Protean,2 Spd,M (87.5%),Field,Grass,45,Level 16,9
908,Meowscarada,76,110,70,81,70,123,530,Grass,Dark,Overgrow,,Protean,3 Spd,M (87.5%),Field,Grass,45,Level 36,9
909,Fuecoco,67,45,59,63,43,36,313,Fire,,Blaze,,Unaware,1 HP,M (87.5%),Field,,45,,9
910,Crocalor,81,55,78,90,58,49,411,Fire,,Blaze,,Unaware,2 SpA,M (87.5%),Field,,45,Level 16,9
911,Skeledirge,104,75,100,100,76,66,521,Fire,Ghost,Blaze,,Unaware,3 SpA,M (87.5%),Field,,45,Level 36,9
912,Quaxly,55,65,45,50,45,50,310,Water,,Torrent,,Moxie,1 Atk,M (87.5%),Flying,Water 1,45,,9
913,Quaxwell,70,85,65,65,60,65,410,Water,,Torrent,,Moxie,2 Atk,M (87.5%),Flying,Water 1,45,Level 16,9
914,Quaquaval,85,120,80,85,75,85,530,Water,Fighting,Torrent,,Moxie,3 Atk,M (87.5%),Flying,Water 1,45,Level 36,9
915,Lechonk,54,45,40,35,45,35,254,Normal,,Aroma Veil,Gluttony,Thick Fat,1 HP,Neutral,Field,,255,,9
916,Oinkologne-M,110,100,75,59,80,65,489,Normal,,Lingering Aroma,Gluttony,Thick Fat,2 HP,M (100%),Field,,100,"Level 18, Male",9
917,Tarountula,35,41,45,29,40,20,210,Bug,,Insomnia,,Stakeout,1 Def,Neutral,Bug,,255,,9
918,Spidops,60,79,92,52,86,35,404,Bug,,Insomnia,,Stakeout,2 Def,Neutral,Bug,,120,Level 15,9
919,Nymble,33,46,40,21,25,45,210,Bug,,Swarm,,Tinted Lens,1 Atk,Neutral,Bug,,190,,9
920,Lokix,71,102,78,52,55,92,450,Bug,Dark,Swarm,,Tinted Lens,2 Atk,Neutral,Bug,,30,Level 24,9
921,Pawmi,45,50,20,40,25,60,240,Electric,,Static,Natural Cure,Iron Fist,1 Spd,Neutral,Field,,190,,9
922,Pawmot,60,75,40,50,40,85,350,Electric,Fighting,Volt Absorb,Natural Cure,Iron Fist,2 Spd,Neutral,Field,,80,Level 18,9
923,Pawmot,70,115,70,70,60,105,490,Electric,Fighting,Volt Absorb,Natural Cure,Iron Fist,3 Atk,Neutral,Field,,45,"Let's Go, 1000 Steps",9
924,Tandemaus,50,50,45,40,45,75,305,Normal,,Run Away,Pickup,Own Tempo,1 Spd,None,Field,Fairy,150,,9
925,Maushold,74,75,70,65,75,111,470,Normal,,Friend Huard,Cheek Pouch,Technician,2 Spd,None,Field,Fairy,75,Level 25,9
926,Fidough,37,55,70,30,55,65,312,Fairy,,Own Tempo,,Klutz,1 Spd,Neutral,Field,Mineral,190,,9
927,Dashbun,57,80,115,50,80,95,477,Fairy,,Well-Baked Body,,Aroma Veil,2 Spd,Neutral,Field,Mineral,90,Level 26,9
928,Smoliv,41,35,45,58,51,30,260,Grass,Normal,Early Bird,,Harvest,1 SpA,Neutral,Grass,,255,,9
929,Dolliv,52,53,60,78,78,33,354,Grass,Normal,Early Bird,,Harvest,2 SpA,Neutral,Grass,,120,Level 25,9
390,Arboliva,78,69,90,125,109,39,510,Grass,Normal,Seed Sower,,Harvest,3 SpA,Neutral,Grass,,45,Level 35,9
931,Squawkabilly,82,96,51,45,51,92,417,Normal,Flying,Intimidate,Hustle,Sheer Force,1 Atk,Neutral,Flying,,190,N,9
932,Nacli,55,55,75,35,35,28,283,Rock,,Purifying Salt,Sturdy,Clear Body,1 Def,Neutral,Mineral,,255,,9
933,Naclstack,60,60,100,35,65,35,355,Rock,,Purifying Salt,Sturdy,Clear Body,2 Def,Neutral,Mineral,,120,Level 24,9
934,Gargancl,100,100,130,45,90,35,500,Rock,,Purifying Salt,Sturdy,Clear Body,3 Def,Neutral,Mineral,,45,Level 38,9
935,Charcadet,40,50,40,50,40,35,255,Fire,,Flash Fire,,Flame Body,1 SpA,Neutral,Human-Like,,90,,9
936,Armarouge,85,60,100,125,80,75,525,Fire,Psychic,Flash Fire,,Flame Body,2 SpA,Neutral,Human-Like,,25,Auspicious Armor,9
937,Ceruledge,75,125,80,60,100,85,525,Fire,Ghost,Flash Fire,,Flame Body,2 Atk,Neutral,Human-Like,,25,Malicious Armor,9
938,Tadbulb,61,31,41,59,35,45,272,Electric,,Own Tempo,Static,Damp,1 HP,Neutral,Water 1,,190,,9
939,Bellibolt,109,64,91,103,83,45,495,Electric,,Electromorphosis,Static,Damp,2 HP,Neutral,Water 1,,50,Thunder Stone,9
940,Wattrel,40,40,35,55,40,70,280,Flying,Electric,Wind Power,Volt Absorb,Competitive,1 Spd,Neutral,Water 1,Flying,180,,9
941,Kilowattrel,70,70,60,105,60,125,490,Flying,Electric,Wind Power,Volt Absorb,Competitive,2 Spd,Neutral,Water 1,Flying,90,Level 25,9
942,Maschiff,60,78,60,40,51,51,340,Dark,,Intimidate,Run Away,Stakeout,1 Atk,Neutral,Field,,150,,9
943,Mabosstiff,80,120,90,60,70,85,505,Dark,,Intimidate,Guard Dog,Stakeout,2 Atk,Neutral,Field,,75,Level 30,9
944,Shroodle,40,65,35,40,35,75,290,Poison,Normal,Unburden,Pickpocket,Prankster,1 Spd,Neutral,Field,,190,,9
945,Grafaiai,63,95,65,80,72,110,485,Poison,Normal,Unburden,Pickpocket,Prankster,2 Spd,Neutral,Field,,90,Level 28,9
946,Bramblin,40,65,30,45,35,60,275,Grass,Ghost,Wind Rider,,Infiltrator,1 Atk,Neutral,Grass,,190,,9
947,Brambleghast,55,115,70,80,70,90,480,Grass,Ghost,Wind Rider,,Infiltrator,2 Atk,Neutral,Grass,,45,"Let's Go, 1000 Steps",9
948,Toedscool,40,40,35,50,100,70,335,Grass,Ground,Mycelium Might,,,1 SpD,Neutral,Grass,,190,,9
949,Toedscruel,80,70,65,80,120,100,515,Grass,Ground,Mycelium Might,,,2 SpD,Neutral,Grass,,90,Level 30,9
950,Klawf,70,100,115,35,35,25,380,Rock,,Anger Shell,Shell Armor,Regenerator,2 Def,Neutral,Water 3,,120,N,9
951,Capsakid,50,62,40,62,40,50,304,Grass,Fire,Chlorophyll,Insomnia,Klutz,1 Atk,Neutral,Grass,,190,,9
952,Scovillain,65,108,65,108,65,75,486,Grass,Fire,Chlorophyll,Insomnia,Moody,2 Atk,Neutral,Grass,,75,Fire Stone,9
953,Rellor,41,50,60,31,58,30,270,Bug,,Compound Eyes,,Shed Skin,1 Def,Neutral,Bug,,190,,9
954,Rabsca,75,50,85,115,100,45,470,Bug,Psychic,Synchronize,,Telepathy,2 SpA,Neutral,Bug,,45,"Level, Let's Go 1000 Steps",9
955,Flittle,30,35,30,55,30,75,255,Psychic,,Anticipation,Frisk,Speed Boost,1 Spd,Neutral,Flying,,120,,9
956,Espathra,75,60,60,101,60,105,461,Psychic,,Opportunist,Frisk,Speed Boost,2 Spd,Neutral,Flying,,60,Level 35,9
957,Tinkatink,50,45,45,35,64,58,297,Fairy,Steel,Mold Breaker,Own Tempo,Pickpocket,1 SpD,F (100%),Fairy,,190,,9
958,Tinkatuff,65,55,55,45,82,78,380,Fairy,Steel,Mold Breaker,Own Tempo,Pickpocket,2 SpD,F (100%),Fairy,,90,Level 24,9
959,Tinkaton,85,75,77,70,105,94,506,Fairy,Steel,Mold Breaker,Own Tempo,Pickpocket,3 SpD,F (100%),Fairy,,45,Level 38,9
960,Wiglett,10,55,25,35,25,95,245,Water,,Gooey,Rattled,Sand Veil,1 Spd,Neutral,Water 3,,255,,9
961,Wugtrio,35,100,50,50,70,120,425,Water,,Gooey,Rattled,Sand Veil,2 Spd,Neutral,Water 3,,50,Level 26,9
962,Bombirdier,70,103,85,60,85,82,485,Flying,Dark,Big Pecks,Keen Eye,Rocky Payload,2 Atk,Neutral,Flying,,25,N,9
963,Finizen,70,45,40,45,40,75,315,Water,,Water Veil,,,1 Spd,Neutral,Field,Water 2,200,,9
964,Palafin,100,70,72,53,62,100,457,Water,,Zero to Hero,,,2 HP,Neutral,Field,Water 2,45,"Level 38, Multiplayer",9
965,Varoom,45,70,63,30,45,47,300,Poison,Steel,Overcoat,,Slow Start,1 Atk,Neutral,Mineral,,190,,9
966,Revaroom,80,119,90,54,67,90,500,Poison,Steel,Overcoat,,Filter,2 Atk,Neutral,Mineral,,75,Level 40,9
967,Cyclizar,70,95,65,85,65,121,501,Dragon,Normal,Shed Skin,,Regenerator,2 Spd,Neutral,Field,,190,N,9
968,Orthworm,70,85,145,60,55,65,480,Steel,,Earth Eater,,Sand Veil,2 Def,Neutral,Field,,25,N,9
969,Glimmet,48,35,42,105,60,60,350,Poison,Rock,Toxic Debris,,Corrosion,1 SpA,Neutral,Mineral,,70,,9
970,Glimmora,83,55,90,130,81,86,525,Poison,Rock,Toxic Debris,,Corrosion,2 SpA,Neutral,Mineral,,25,Level 35,9
971,Greavard,50,61,60,30,55,34,290,Ghost,,Pickup,,Fluffy,1 Atk,Neutral,Field,,120,,9
972,Houndstone,72,101,100,50,97,68,488,Ghost,,Sand Rush,,Fluffy,2 Atk,Neutral,Field,,60,"Level 30, Night",9
973,Flamigo,82,115,74,75,64,90,500,Flying,Fighting,Scrappy,Tangled Feet,Costar,2 Atk,Neutral,Flying,,100,N,9
974,Cetoddle,108,68,45,30,40,43,334,Ice,,Thick Fat,Snow Cloak,Sheer Force,1 HP,Neutral,Field,,150,,9
975,Cetitan,170,113,65,45,55,73,521,Ice,,Thick Fat,Slush Rush,Sheer Force,2 HP,Neutral,Field,,50,Ice Stone,9
976,Veluza,90,102,73,78,65,70,478,Water,Psychic,Mold Breaker,,Sharpness,2 Atk,Neutral,Water 2,,100,N,9
977,Dondozo,150,100,115,65,65,35,530,Water,,Unaware,Oblivious,Water Veil,3 HP,Neutral,Water 2,,25,N,9
978,Tatsugiri,68,50,60,120,95,82,475,Dragon,Water,Commander,,Storm Drain,2 SpA,Neutral,Water 2,,100,N,9
979,Annihilape,110,115,80,50,90,90,535,Fighting,Ghost,Vital Spirit,Inner Focus,Defiant,3 Atk,Neutral,Field,,45,Use Rage Fist 20 times,9
980,Clodsire,130,75,60,45,100,20,430,Poison,Ground,Poison Point,Water Absorb,Unaware,2 HP,Neutral,Water 1,Field,90,Level 20,9
981,Farigaraf,120,90,70,110,70,60,520,Normal,Psychic,Cud Chew,Armor Tail,Sap Sipper,3 HP,Neutral,Field,,45,"Level, knows Twin Beam",9
982,Dudunsparce,125,100,80,85,75,55,520,Normal,,Serene Grace,Run Away,Rattled,2 HP,Neutral,Field,,45,"Level, knows Hyper Drill",9
983,Kingambit,100,135,120,60,85,50,550,Dark,Steel,Defiant,Supreme Overlord,Pressure,3 Atk,Neutral,Human-Like,,25,"Level, Defeat 3 Bisharp packs",9
984,Great Tusk,115,131,131,53,53,87,570,Ground,Fighting,Protosynthesis,,,3 Atk,None,-,,30,N,9
985,Scream Tail,115,65,99,65,115,111,570,Fairy,Psychic,Protosynthesis,,,3 HP,None,-,,50,N,9
986,Brute Bonnet,111,127,99,79,99,55,570,Grass,Dark,Protosynthesis,,,3 Atk,None,-,,50,N,9
987,Flutter Mane,55,55,55,135,135,135,570,Ghost,Fairy,Protosynthesis,,,"1 SpA, 1 SpD, 1 Spd",None,-,,30,N,9
988,Slither Wing,85,135,79,85,105,81,570,Bug,Fighting,Protosynthesis,,,3 Atk,None,-,,30,N,9
989,Sandy Shocks,85,81,97,121,85,101,570,Electric,Ground,Protosynthesis,,,3 SpA,None,-,,30,N,9
990,Iron Treads,90,112,120,72,70,106,570,Ground,Steel,Quark Drive,,,3 Def,None,-,,30,N,9
991,Iron Bundle,56,80,114,124,60,136,570,Ice,Water,Quark Drive,,,3 Spd,None,-,,50,N,9
992,Iron Hands,154,140,108,50,68,50,570,Fighting,Electric,Quark Drive,,,3 Atk,None,-,,50,N,9
993,Iron Jugulis,94,80,86,122,80,108,570,Dark,Flying,Quark Drive,,,3 SpA,None,-,,30,N,9
994,Iron Moth,80,70,60,140,110,110,570,Fire,Poison,Quark Drive,,,3 SpA,None,-,,30,N,9
995,Iron Thorns,100,134,110,70,84,72,570,Rock,Electric,Quark Drive,,,3 Atk,None,-,,30,N,9
996,Frigibax,65,75,45,35,45,55,320,Dragon,Ice,Thermal Exchange,,Ice Body,1 Atk,Neutral,Dragon,Mineral,45,,9
997,Arctibax,90,95,66,45,65,62,423,Dragon,Ice,Thermal Exchange,,Ice Body,2 Atk,Neutral,Dragon,Mineral,25,Level 35,9
